symbol,trades,win_rate,avg_return,total_pnl_usd,avg_bars_held
DVN,41,36.6,2.02,8286.0,26.0
GRMN,52,40.4,1.57,8155.0,28.0
ROK,49,44.9,1.65,8098.0,28.0
RSG,46,52.2,1.76,8097.0,33.0
APD,45,53.3,1.79,8049.0,32.0
EL,35,51.4,2.3,8034.0,32.0
COP,42,33.3,1.9,7982.0,29.0
TT,47,46.8,1.69,7963.0,31.0
TEL,42,54.8,1.88,7898.0,31.0
AEP,45,57.8,1.74,7826.0,32.0
HSY,46,41.3,1.7,7816.0,32.0
CBRE,43,58.1,1.81,7784.0,30.0
COIN,22,27.3,3.52,7753.0,26.0
LYV,47,40.4,1.65,7746.0,30.0
DGX,48,56.2,1.61,7742.0,31.0
EIX,50,50.0,1.55,7733.0,28.0
AZO,43,46.5,1.8,7733.0,32.0
SYF,44,43.2,1.75,7706.0,30.0
TJX,41,61.0,1.87,7654.0,33.0
AMGN,46,50.0,1.66,7627.0,31.0
BEN,48,43.8,1.58,7591.0,27.0
PKG,45,55.6,1.67,7526.0,31.0
BRO,48,45.8,1.57,7520.0,28.0
KR,49,46.9,1.53,7520.0,29.0
LIN,57,45.6,1.32,7520.0,28.0
TROW,43,41.9,1.75,7510.0,32.0
TSN,44,52.3,1.7,7473.0,29.0
LUV,39,43.6,1.92,7470.0,31.0
MAR,45,51.1,1.66,7459.0,30.0
PLD,47,48.9,1.58,7415.0,31.0
BA,40,42.5,1.84,7378.0,31.0
JBHT,43,46.5,1.71,7371.0,32.0
NDAQ,44,47.7,1.67,7356.0,30.0
SNPS,45,44.4,1.63,7327.0,35.0
